pct,org_code,org_name,org_type,chem_sub,bnf_name,quantity_per_item,jan_2020_items,jan_2021_items
06L,06L,NHS IPSWICH AND EAST SUFFOLK CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,0,1
NKI,NKI,TURNING POINT,INDEP SECTOR,Buprenorphine hydrochloride,Buvidal 128mg/0.36ml prolonged-release inj pf syringes,1.0,6,5
03N,03N,NHS SHEFFIELD CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,1.0,4,3
NI3,NI3,WE ARE WITH YOU,INDEP SECTOR,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,1.0,2,2
117,117,DARLINGTON BOROUGH COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,1.0,1,0
01G,01G,NHS SALFORD CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,1,0
00Q,00Q,NHS BLACKBURN WITH DARWEN CCG,CCG,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,1.0,0,1
15N,15N,NHS DEVON CCG,CCG,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,1.0,0,5
310,310,STOCKPORT METROPOLITAN BOROUGH COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,1,0
92G,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",CCG,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,1.0,1,0
110,110,SUNDERLAND CITY COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,1.0,8,5
00T,00T,NHS BOLTON CCG,CCG,Naltrexone hydrochloride,Naltrexone 50mg tablets,1.0,1,0
322,322,WARRINGTON BOROUGH COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,2,0
106,106,GATESHEAD METROPOLITAN BOROUGH COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,5,1
NR5,NR5,LIVEWELL SOUTHWEST,INDEP SECTOR,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,1.0,2,0
216,216,NORTH EAST LINCOLNSHIRE COUNCIL,LOCAL AUTH,Naltrexone hydrochloride,Naltrexone 50mg tablets,1.0,2,0
15E,15E,NHS BIRMINGHAM AND SOLIHULL CCG,CCG,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,1.0,3,0
ARG,ARG,WESTMINISTER DRUG PROJECT,INDEP SECTOR,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,1.0,8,2
99A,99A,NHS LIVERPOOL CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,10,12
03A,X2C4Y,NHS KIRKLEES CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg oral lyophilisates sugar free,1.0,0,1
112,112,MIDDLESBROUGH BOROUGH COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,1.0,1,0
04V,04V,NHS WEST LEICESTERSHIRE CCG,CCG,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,1.0,0,1
01H,01H,NHS NORTH CUMBRIA CCG,CCG,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,1.0,0,7
99A,99A,NHS LIVERPOOL CCG,CCG,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,1.0,1,0
DWA,DWA,EDP DRUG AND ALCOHOL SERVICES,INDEP SECTOR,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,1.0,1,0
313,313,WIGAN METROPOLITAN BOROUGH COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,1,6
10Q,10Q,NHS OXFORDSHIRE CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,1,0
DLA,DLA,CRANSTOUN,INDEP SECTOR,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,1.0,1,1
AJ6,AJ6,HUMANKIND,INDEP SECTOR,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,1,9
18C,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG,CCG,Naltrexone hydrochloride,Naltrexone 50mg tablets,1.0,0,1
15C,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",CCG,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,1.0,1,20
ARG,ARG,WESTMINISTER DRUG PROJECT,INDEP SECTOR,Buprenorphine hydrochloride,Buprenorphine 24mg/0.48ml prolonged-release inj pf syringes,1.0,1,0
NKI,NKI,TURNING POINT,INDEP SECTOR,Buprenorphine hydrochloride,Buvidal 64mg/0.18ml prolonged-release inj pf syringes,1.0,16,12
71E,71E,NHS LINCOLNSHIRE CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,1.0,1,0
02A,02A,NHS TRAFFORD CCG,CCG,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,1.0,1,0
RXM,RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,TRUST,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,1.0,0,3
05Y,D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,CCG,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,1.0,1,1
01J,01J,NHS KNOWSLEY CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,1,0
42D,42D,NHS NORTH YORKSHIRE CCG,CCG,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,1.0,1,0
15D,D4U1Y,NHS FRIMLEY CCG,CCG,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,1.0,1,0
ARG,ARG,WESTMINISTER DRUG PROJECT,INDEP SECTOR,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,3,0
15N,15N,NHS DEVON CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,8,6
DNE,DNE,COMPASS,INDEP SECTOR,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,1,0
71E,71E,NHS LINCOLNSHIRE CCG,CCG,Buprenorph hydrochloride/naloxone hydrochloride,Buprenorphine 8mg / Naloxone 2mg sublingual tab sugar free,1.0,1,0
NKI,NKI,TURNING POINT,INDEP SECTOR,Buprenorphine hydrochloride,Buvidal 8mg/0.16ml prolonged-release inj pf syringes,1.0,0,1
NMS,NMS,"CHANGE, GROW, LIVE",INDEP SECTOR,Naltrexone hydrochloride,Adepend 50mg tablets,1.0,0,1
15N,15N,NHS DEVON CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,1.0,1,1
DEC,DEC,THE SOCIETY OF ST JAMES,INDEP SECTOR,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,1.0,0,1
02P,02P,NHS BARNSLEY CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,7,3
AJ6,AJ6,HUMANKIND,INDEP SECTOR,Naltrexone hydrochloride,Naltrexone 50mg tablets,1.0,1,0
NMS,NMS,"CHANGE, GROW, LIVE",INDEP SECTOR,Naltrexone hydrochloride,Naltrexone 50mg tablets,1.0,4,1
RXM,RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,TRUST,Buprenorphine hydrochloride,Subutex 2mg sublingual tablets,1.0,0,1
13T,13T,NHS NEWCASTLE GATESHEAD CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,1.0,2,0
15E,15E,NHS BIRMINGHAM AND SOLIHULL CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,3,0
NMS,NMS,"CHANGE, GROW, LIVE",INDEP SECTOR,Buprenorphine hydrochloride,Buvidal 64mg/0.18ml prolonged-release inj pf syringes,1.0,0,24
RA9,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,TRUST,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,0,1
92G,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",CCG,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,1.0,5,0
71E,71E,NHS LINCOLNSHIRE CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,8,3
RLY,RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,TRUST,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,2,2
15D,D4U1Y,NHS FRIMLEY CCG,CCG,Buprenorphine hydrochloride,Buvidal 96mg/0.27ml prolonged-release inj pf syringes,1.0,0,1
RXE,RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,TRUST,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,1.0,1,0
01F,01F,NHS HALTON CCG,CCG,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,1.0,1,0
42D,42D,NHS NORTH YORKSHIRE CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,1.0,0,1
15C,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,19,57
91Q,91Q,NHS KENT AND MEDWAY CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,3,0
116,116,DURHAM COUNTY COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,1.0,3,2
305,305,BURY METROPOLITAN BOROUGH COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Subutex 2mg sublingual tablets,1.0,0,1
14R,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,CCG,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,1.0,0,2
AKQ,AKQ,DELPHI MEDICAL LTD,INDEP SECTOR,Buprenorphine hydrochloride,Buvidal 128mg/0.36ml prolonged-release inj pf syringes,1.0,2,3
106,106,GATESHEAD METROPOLITAN BOROUGH COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,1.0,1,3
05C,D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,CCG,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,1.0,2,3
112,112,MIDDLESBROUGH BOROUGH COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,15,7
ARG,ARG,WESTMINISTER DRUG PROJECT,INDEP SECTOR,Buprenorphine hydrochloride,Buvidal 128mg/0.36ml prolonged-release inj pf syringes,1.0,1,4
00Q,00Q,NHS BLACKBURN WITH DARWEN CCG,CCG,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,1.0,0,2
03N,03N,NHS SHEFFIELD CCG,CCG,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,1.0,1,0
26A,26A,NHS NORFOLK AND WAVENEY CCG,CCG,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,1.0,1,0
03F,03F,NHS HULL CCG,CCG,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,1.0,4,1
DMH,DMH,FRAMEWORK,INDEP SECTOR,Buprenorphine hydrochloride,Subutex 2mg sublingual tablets,1.0,1,1
02Y,02Y,NHS EAST RIDING OF YORKSHIRE CCG,CCG,Buprenorph hydrochloride/naloxone hydrochloride,Suboxone 8mg/2mg sublingual tablets,1.0,1,0
02A,02A,NHS TRAFFORD CCG,CCG,Naltrexone hydrochloride,Naltrexone 50mg tablets,1.0,1,0
15C,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",CCG,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,1.0,6,18
ARG,ARG,WESTMINISTER DRUG PROJECT,INDEP SECTOR,Buprenorphine hydrochloride,Buvidal 64mg/0.18ml prolonged-release inj pf syringes,1.0,3,6
ARG,ARG,WESTMINISTER DRUG PROJECT,INDEP SECTOR,Buprenorphine hydrochloride,Buvidal 96mg/0.27ml prolonged-release inj pf syringes,1.0,3,1
10Q,10Q,NHS OXFORDSHIRE CCG,CCG,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,1.0,1,0
211,211,KIRKLEES COUNCIL,LOCAL AUTH,Naltrexone hydrochloride,Naltrexone 50mg tablets,1.0,1,0
15D,D4U1Y,NHS FRIMLEY CCG,CCG,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,1.0,1,1
01G,01G,NHS SALFORD CCG,CCG,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,1.0,3,4
ARG,ARG,WESTMINISTER DRUG PROJECT,INDEP SECTOR,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,1.0,5,0
NKI,NKI,TURNING POINT,INDEP SECTOR,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,1.0,2,0
RX4,RX4,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",TRUST,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,20,14
218,218,NORTH YORKSHIRE COUNTY COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,1.0,0,1
15C,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",CCG,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,1.0,0,1
704,704,LONDON BOROUGH OF HACKNEY,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,1.0,3,0
ARG,ARG,WESTMINISTER DRUG PROJECT,INDEP SECTOR,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,1.0,2,0
322,322,WARRINGTON BOROUGH COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,1.0,1,0
NMS,NMS,"CHANGE, GROW, LIVE",INDEP SECTOR,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,1.0,37,18
DEC,DEC,THE SOCIETY OF ST JAMES,INDEP SECTOR,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,1.0,0,2
NMS,NMS,"CHANGE, GROW, LIVE",INDEP SECTOR,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,1.0,4,4
110,110,SUNDERLAND CITY COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,31,18
02Y,02Y,NHS EAST RIDING OF YORKSHIRE CCG,CCG,Buprenorph hydrochloride/naloxone hydrochloride,Suboxone 2mg/500microgram sublingual tablets,1.0,1,0
DMH,DMH,FRAMEWORK,INDEP SECTOR,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,0,1
11A,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT CCG",CCG,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,1.0,3,0
01J,01J,NHS KNOWSLEY CCG,CCG,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,1.0,0,4
NL1,NL1,SPECTRUM COMMUNITY HEALTH - CIC,INDEP SECTOR,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,6,1
NKI,NKI,TURNING POINT,INDEP SECTOR,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,1,3
NL1,NL1,SPECTRUM COMMUNITY HEALTH - CIC,INDEP SECTOR,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,1.0,4,3
02P,02P,NHS BARNSLEY CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,1.0,1,1
03L,03L,NHS ROTHERHAM CCG,CCG,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,1.0,1,1
72Q,72Q,NHS SOUTH EAST LONDON CCG,CCG,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,1.0,1,0
14L,14L,NHS MANCHESTER CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,1,1
13T,13T,NHS NEWCASTLE GATESHEAD CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,1,1
05G,05G,NHS NORTH STAFFORDSHIRE CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,1.0,1,0
15C,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",CCG,Buprenorphine hydrochloride,Subutex 2mg sublingual tablets,1.0,0,1
01X,01X,NHS ST HELENS CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,3,0
218,218,NORTH YORKSHIRE COUNTY COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,1.0,0,1
NMS,NMS,"CHANGE, GROW, LIVE",INDEP SECTOR,Buprenorphine hydrochloride,Buvidal 16mg/0.32ml prolonged-release inj pf syringes,1.0,0,1
107,107,NEWCASTLE CITY COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,1.0,4,3
91Q,91Q,NHS KENT AND MEDWAY CCG,CCG,Buprenorphine hydrochloride,Subutex 2mg sublingual tablets,1.0,1,0
110,110,SUNDERLAND CITY COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 24mg/0.48ml prolonged-release inj pf syringes,1.0,0,2
01F,01F,NHS HALTON CCG,CCG,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,1.0,3,2
211,211,KIRKLEES COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,1.0,1,1
NI3,NI3,WE ARE WITH YOU,INDEP SECTOR,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,1.0,1,6
52R,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,2,0
05C,D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,1,0
99A,99A,NHS LIVERPOOL CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,1.0,3,1
72Q,72Q,NHS SOUTH EAST LONDON CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg oral lyophilisates sugar free,1.0,0,1
02Y,02Y,NHS EAST RIDING OF YORKSHIRE CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,2,2
NR5,NR5,LIVEWELL SOUTHWEST,INDEP SECTOR,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,0,1
AKQ,AKQ,DELPHI MEDICAL LTD,INDEP SECTOR,Buprenorphine hydrochloride,Buvidal 96mg/0.27ml prolonged-release inj pf syringes,1.0,2,1
322,322,WARRINGTON BOROUGH COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,1.0,1,1
01H,01H,NHS NORTH CUMBRIA CCG,CCG,Buprenorphine hydrochloride,Subutex 0.4mg sublingual tablets,1.0,1,0
211,211,KIRKLEES COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,1.0,1,2
15D,D4U1Y,NHS FRIMLEY CCG,CCG,Buprenorphine hydrochloride,Buvidal 64mg/0.18ml prolonged-release inj pf syringes,1.0,0,2
03L,03L,NHS ROTHERHAM CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,1.0,0,1
AKQ,AKQ,DELPHI MEDICAL LTD,INDEP SECTOR,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,1.0,2,3
RX4,RX4,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",TRUST,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,1.0,1,3
212,212,LEEDS CITY COUNCIL,LOCAL AUTH,Buprenorph hydrochloride/naloxone hydrochloride,Buprenorphine 8mg / Naloxone 2mg sublingual tab sugar free,1.0,0,1
310,310,STOCKPORT METROPOLITAN BOROUGH COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,1.0,1,0
NMS,NMS,"CHANGE, GROW, LIVE",INDEP SECTOR,Buprenorphine hydrochloride,Buvidal 96mg/0.27ml prolonged-release inj pf syringes,1.0,0,30
15E,15E,NHS BIRMINGHAM AND SOLIHULL CCG,CCG,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,1.0,1,0
03N,03N,NHS SHEFFIELD CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,18,14
114,114,STOCKTON-ON-TEES BOROUGH COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,1.0,1,0
DLA,DLA,CRANSTOUN,INDEP SECTOR,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,0,3
112,112,MIDDLESBROUGH BOROUGH COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,1.0,5,1
117,117,DARLINGTON BOROUGH COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,2,0
05Y,D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,0,2
322,322,WARRINGTON BOROUGH COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,1.0,2,1
15D,D4U1Y,NHS FRIMLEY CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 24mg/0.48ml prolonged-release inj pf syringes,1.0,4,1
218,218,NORTH YORKSHIRE COUNTY COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,5,2
DG3,DG3,THE FORWARD TRUST,INDEP SECTOR,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,5,2
15C,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",CCG,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,1.0,0,56
02E,02E,NHS WARRINGTON CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,1.0,0,1
07T,A3A8R,NHS NORTH EAST LONDON CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,1,0
15N,15N,NHS DEVON CCG,CCG,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,1.0,0,3
NMS,NMS,"CHANGE, GROW, LIVE",INDEP SECTOR,Buprenorphine hydrochloride,Buvidal 32mg/0.64ml prolonged-release inj pf syringes,1.0,0,2
AKQ,AKQ,DELPHI MEDICAL LTD,INDEP SECTOR,Buprenorphine hydrochloride,Buvidal 16mg/0.32ml prolonged-release inj pf syringes,1.0,12,5
03R,03R,NHS WAKEFIELD CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,0,1
110,110,SUNDERLAND CITY COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buvidal 8mg/0.16ml prolonged-release inj pf syringes,1.0,0,1
DMH,DMH,FRAMEWORK,INDEP SECTOR,Buprenorphine hydrochloride,Subutex 0.4mg sublingual tablets,1.0,1,0
03A,X2C4Y,NHS KIRKLEES CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,1.0,0,1
92A,92A,NHS SURREY HEARTLANDS CCG,CCG,Naltrexone hydrochloride,Naltrexone 4.5mg capsules,1.0,1,0
116,116,DURHAM COUNTY COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,10,4
93C,93C,NHS NORTH CENTRAL LONDON CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,1,0
15N,15N,NHS DEVON CCG,CCG,Naltrexone hydrochloride,Naltrexone 50mg tablets,1.0,1,0
